Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
Burn After Reading,2008.0,12 Sep 2008,"Comedy, Crime, Drama",96 min,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Brad Pitt, Frances McDormand, George Clooney",R,7.0,63.0,"360,851",Nominated for 3 BAFTA 8 wins & 32 nominations total,"$60,355,347","United States, United Kingdom, France",English,"Osbourne Cox, a Balkan expert, resigned from the CIA because of a drinking problem, so he begins a memoir. His wife wants a divorce and expects her lover, Harry, a philandering State Department marshal, to leave his wife. A CD-ROM falls out of a gym bag at a Georgetown fitness center. Two employees there try to turn it into cash: Linda, who wants money for cosmetic surgery, and Chad, an amiable goof. Information on the disc leads them to Osbourne who rejects their sales pitch; then they visit the Russian embassy. To sweeten the pot, they decide they need more of Osbourne's secrets. Meanwhile, Linda's boss likes her, and Harry's wife leaves for a book tour. All roads lead to Osbourne's house.",https://m.media-amazon.com/images/M/MV5BMjdmNjJjMzAtMmJkMy00MDJlLTgxYjctNDU3YjBkMmJhM2M5XkEyXkFqcGc@._V1_SX300.jpg
Indiana Jones and the Kingdom of the Crystal Skull,2008.0,22 May 2008,"Action, Adventure",122 min,Steven Spielberg,"David Koepp, George Lucas, Jeff Nathanson","Harrison Ford, Cate Blanchett, Shia LaBeouf",PG-13,6.2,65.0,"498,672",Nominated for 1 BAFTA Award10 wins & 42 nominations total,"$317,101,119",United States,"English, German, Russian","During the Cold War, Soviet Agents watch Professor Henry ""Indiana"" Jones, Jr. (Harrison Ford), when a young man brings him a coded message from an aged, demented colleague, Professor Harold Oxley (Sir John Hurt). Led by the brilliant Irina Spalko (Cate Blanchett), the Soviets tail Jones and the young man, Mutt Williams (Shia LeBeouf), to Peru. With Oxley's code, they find a legendary skull made of a single piece of quartz. If Jones can deliver the skull to its rightful place, all may be well. But if Irina takes it to its origin, she'll gain powers that could endanger the West. Aging professor and young buck join forces with a woman from Jones' past, Marion Ravenwood (Karen Allen), to face the dangers of the jungle, Russia, and the supernatural.",https://m.media-amazon.com/images/M/MV5BYTFiMDk2NzItZDU5Ni00ZjBjLTkzYWQtYzcwZDIwMWZjMmZiXkEyXkFqcGc@._V1_SX300.jpg
The Secret Life of Bees,2008.0,17 Oct 2008,Drama,114 min,Gina Prince-Bythewood,"Gina Prince-Bythewood, Sue Monk Kidd","Dakota Fanning, Jennifer Hudson, Queen Latifah",PG-13,7.2,57.0,"28,410",11 wins & 17 nominations,"$37,770,162",United States,English,"Set in South Carolina in 1964, this is the tale of Lily Owens, a 14 year-old girl who is haunted by the memory of her late mother. To escape her lonely life and troubled relationship with her father T-Ray, Lily flees with Rosaleen, her caregiver and friend, to a South Carolina town that holds the secret to her mother's past. Taken in by the intelligent and independent Boatwright sisters, Lily finds solace in their mesmerizing world of beekeeping.",https://m.media-amazon.com/images/M/MV5BOTgzNDIzMTM2OV5BMl5BanBnXkFtZTcwMTQzNTE4MQ@@._V1_SX300.jpg
Valkyrie,2008.0,25 Dec 2008,"Drama, History, Thriller",121 min,Bryan Singer,"Christopher McQuarrie, Nathan Alexander","Tom Cruise, Bill Nighy, Carice van Houten",PG-13,7.1,56.0,"265,692",3 wins & 11 nominations total,"$83,077,833","United Kingdom, France, Germany, Italy, Spain, Japan, United States","English, German","In Nazi Germany during World War II, as the tide turned in favor of the Allies, a cadre of senior German officers and politicians desperately plot to topple the Nazi regime before the nation is crushed in a nearly inevitable defeat. To this end, Colonel Claus von Stauffenberg, an Army officer convinced he must save Germany from Adolf Hitler, is recruited to mastermind a real plan. To do so, he arranges for the internal emergency measure, Operation: Valkyrie, to be changed to enable his fellows to seize control of Berlin after the assassination of Der Führer. However, even as the plan is put into action, a combination of bad luck and human failings conspire on their own to create a tragedy that would prolong the greater one gripping Europe.",https://m.media-amazon.com/images/M/MV5BMTg3Njc2ODEyN15BMl5BanBnXkFtZTcwNTAwMzc3NA@@._V1_SX300.jpg
Yes Man,2008.0,19 Dec 2008,"Comedy, Romance",104 min,Peyton Reed,"Nicholas Stoller, Jarrad Paul, Andrew Mogel","Jim Carrey, Zooey Deschanel, Bradley Cooper",PG-13,6.8,46.0,"390,387",3 wins & 9 nominations total,"$97,690,976","United States, United Kingdom","English, Korean","Carl Allen is at a standstill. No future - until the day he enrolls into a personal development program based on a very simple idea: say yes to everything. Carl discovers with amazement the magical power of ""Yes"", and sees his professional and romantic life turned upside down overnight: an unexpected promotion and a new girlfriend. But he'll soon discover that better can be good's enemy, and that not all opportunities should be taken.",https://m.media-amazon.com/images/M/MV5BZWQ4YzBiMzgtM2ZhZC00ZDQ5LWFiZjgtNmFlNzZlMTBkZTJhXkEyXkFqcGc@._V1_SX300.jpg
The Boy in the Striped Pajamas,2008.0,26 Nov 2008,"Drama, War",94 min,Mark Herman,"John Boyne, Mark Herman","Asa Butterfield, David Thewlis, Rupert Friend",PG-13,7.7,55.0,"256,043",7 wins & 7 nominations total,"$9,046,156","United Kingdom, United States",English,"Bruno an eight-year-old boy from Berlin, Germany is moved with his mother, Elder sister, SS Commander father to a countryside in Europe where his father powers over a concentration camp for Jews. Bruno went ""exploring"" one day and befriended a child his age named Shmuel. Shmuel was a Jew. The boy became good friends until Bruno was scheduled to move to a new location.",https://m.media-amazon.com/images/M/MV5BMTMzMTc3MjA5NF5BMl5BanBnXkFtZTcwOTk3MDE5MQ@@._V1_SX300.jpg
Hancock,2008.0,02 Jul 2008,"Action, Comedy, Drama",92 min,Peter Berg,"Vy Vincent Ngo, Vince Gilligan","Will Smith, Charlize Theron, Jason Bateman",R,6.4,49.0,"524,960",4 wins & 14 nominations total,"$227,946,274",United States,"English, Japanese, Vietnamese","The powerful superhero John Hancock has become a joke because of his alcoholism and clumsiness. He has also become the most hated man in Los Angeles. Though he has saved many lives, he also destroyed a lot of property, costing the city millions every time he goes into action. When he saves the life of PR expert Ray Embrey from an oncoming train, the executive is thankful and believes he can restore Hancock's image as a true superhero. He brings the anti-hero home for dinner and introduces him to his son Aaron, a big fan, and to his wife, Mary. But for some mysterious reason Mary doesn't want Hancock anywhere near her or her family.",https://m.media-amazon.com/images/M/MV5BMTgyMzc4ODU3NV5BMl5BanBnXkFtZTcwNjk5Mzc1MQ@@._V1_SX300.jpg
The Women,2008.0,12 Sep 2008,"Comedy, Drama",114 min,Diane English,"Diane English, Clare Boothe Luce, Anita Loos","Meg Ryan, Eva Mendes, Annette Bening",PG-13,5.0,27.0,"23,599",4 wins & 4 nominations total,"$26,902,075",United States,English,"Based on a very clever comedy by Claire Booth, wife of Time Publisher Henry Luce and later Ambassador to Italy. One of the surprises was an all-woman cast, novel in the 1930's. And although there were no men in the cast, most of the dialog was about them. The story is rather thin and depended on the fact that divorce, in the 1930's, was not only difficult but almost impossible in New York. Mrs. Stephen Haynes learns that her husband is seeing a salesgirl at Saks, and reluctantly divorces him, abetted by her friends, all of whom have romantic problems of their own. In the 1930's New York women who could afford it went to Nevada, where residency could be established quickly and divorce was relatively easy. The 1939 film, starring Norma Shearer, Paulette Goddard, Rosalind Russell, and Joan Crawford, was a hit. This one, with an even better looking cast, is definitely not, largely because someone tried to move a 1930's situation comedy into the present.",https://m.media-amazon.com/images/M/MV5BMjIwNjg2MTk1MV5BMl5BanBnXkFtZTcwODQxMzk3MQ@@._V1_SX300.jpg
Death Race,2008.0,22 Aug 2008,"Action, Sci-Fi, Thriller",105 min,Paul W.S. Anderson,"Paul W.S. Anderson, Robert Thom, Charles B. Griffith","Jason Statham, Joan Allen, Tyrese Gibson",R,6.4,43.0,"222,372",1 win & 5 nominations total,"$36,316,032","United States, Germany, United Kingdom",English,"In 2012, amid economic chaos and high unemployment, Americans watch by the millions as criminals with life sentences race armored cars on Terminal Island. Two-thirds of the combatants die but the winner may earn his freedom. On the day he loses his job, steelworker Jensen Ames is arrested for his wife's murder. Sent to Terminal Island, he's offered an out by the steely and manipulative Warden Hennessey - race as the popular mask-wearing (but now dead) champion, Frankenstein, or rot in prison. Jensen makes the bargain. As the three-stage race approaches, he realizes that the whole thing may be a set up - can an anonymous man behind a mask get revenge and win his release?",https://m.media-amazon.com/images/M/MV5BZjdlNmJjM2ItYjkwOS00NDMxLWFjM2QtNzcyZjJkYzEzYzQ5XkEyXkFqcGc@._V1_SX300.jpg
Vicky Cristina Barcelona,2008.0,15 Aug 2008,"Comedy, Drama, Romance",96 min,Woody Allen,Woody Allen,"Rebecca Hall, Scarlett Johansson, Javier Bardem",PG-13,7.1,70.0,"273,389",Won 1 Oscar. 32 wins & 54 nominations total,"$23,216,709","Spain, United States","English, Spanish","Sexually adventurous Cristina and her friend Vicky, who is bright but cautious, holiday in Barcelona where they meet the celebrated and wholly seductive painter, Juan Antonio. Vicky is not about to dive into a sexual adventure being committed to her forthcoming marriage. But Cristina is immediately captivated by Juan Antonio's free spirit and his romantic allure is enhanced when she hears the delicious details of his divorce from fellow artist, the tempestuous Maria Elena.",https://m.media-amazon.com/images/M/MV5BOGYyZTllMmUtZDFmYS00ZjJhLThhNmEtZmQwYzkzNjkyNzhlXkEyXkFqcGc@._V1_SX300.jpg
Cloverfield,2008.0,18 Jan 2008,"Action, Horror, Sci-Fi",85 min,Matt Reeves,Drew Goddard,"Mike Vogel, Jessica Lucas, Lizzy Caplan",PG-13,7.0,64.0,"429,579",5 wins & 34 nominations total,"$80,048,433",United States,"English, Russian, French, Japanese","To celebrate Rob's massive promotion, his lover, Beth, and friends, decide to throw a massive surprise farewell party, now that he is about to move to Japan. However, a deafening explosion and the arrival of an enormous scaly and gangly creature will abruptly interrupt the festivities, as all hell breaks loose in New York City, and the Statue of Liberty is decapitated. As the reptilian behemoth levels Manhattan, a daring dash to rescue Beth begins, while at the same time, everything is recorded through the lens of a hand-held camcorder, amid mayhem and destruction. In the end, where did this relentless invader come from, and above all, is there a chance of survival? As they go to investigate, an adventure deep into the streets of New York begins, as the friends are determined to rescue Rob's true love.",https://m.media-amazon.com/images/M/MV5BOWM3NmYyMjAtMjU3YS00MDJjLThmNDItNWUzZmFmMzk5NTEyXkEyXkFqcGc@._V1_SX300.jpg
21,2008.0,28 Mar 2008,"Crime, Drama, Thriller",123 min,Robert Luketic,"Peter Steinfeld, Allan Loeb, Ben Mezrich","Jim Sturgess, Kate Bosworth, Kevin Spacey",PG-13,6.8,48.0,"272,894",1 win & 5 nominations total,"$81,159,365",United States,English,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack. Intrigued by the desire to make money, Ben joins his new friends on secret weekend trips to Las Vegas where, using their skills of code talk and hand signals, they have Ben make hundreds of thousands of dollars in winning blackjack at casino after casino. Ben only wants to make enough money for the tuition to Harvard and then back out. But as fellow card counter, Jill Taylor, predicts, Ben becomes corrupted by greed and his arrogance at winning which lets his feelings get in the way, and it also puts Professor Rosa, as well as the group, on the radar of a brutal casino security enforcer, named Cole Williams, who holds a personal grudge of some kind against Rosa which threatens to undo everything the students have learned and earned.",https://m.media-amazon.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg
